Suburb,Price_k,Land_size,income_md,shopping_center,Time_train,sch_rank,Lat,Lng,Count
Glen Iris,898,291,846,1576,21,480,-37.85365413,145.06008,229
Hawthorn,660,191,823,1617,12,581,-37.82439704,145.0325941,183
Hawthorn East,853,244,860,723,15,508,-37.83027364,145.0508303,114
Balwyn,1111,453,646,1908,20,71,-37.80949429,145.0806162,170
Balwyn North,1274,587,644,2878,24,75,-37.79395946,145.0847527,200
Burwood,924,498,450,1840,27,187,-37.8510216,145.1133911,274
Ashburton,1098,580,674,2023,27,245,-37.86758624,145.0820845,115
Canterbury,1208,436,755,874,19,100,-37.82486596,145.076571,30
Kew,1017,479,847,1055,17,105,-37.80383988,145.0381417,165
Kew East,1133,433,741,2099,27,108,-37.79399195,145.0544742,53
