Suburb,Price_k,Land_size,income_md,shopping_center,Time_train,sch_rank,Lat,Lng,Count
Camberwell,1077,395,778,300,22,40,-37.84047538,145.0778718,133
Williamstown,947,253,774,823,25,261,-37.859985,144.894461,320
Melbourne,480,100,710,529,6,213,-37.81947035,144.9642929,1076
Ringwood,606,495,589,1138,35,224,-37.81036665,145.2335334,486
Brighton,1159,369,898,4789,24,179,-37.90917208,144.9977254,277
Bentleigh East,788,368,600,2834,28,343,-37.92192639,145.0666815,502
Brunswick,669,207,709,1187,17,98,-37.7668692,144.9612362,485
St Kilda,559,100,961,890,15,252,-37.86376324,144.9829477,427
Sunshine,480,382,421,2369,20,328,-37.78772484,144.8361947,262
Glen Waverley,997,586,521,1074,37,117,-37.88136146,145.1662612,894
